,도소매업,서비스업,외식업
0,1000028,1000028,1000030
1,1000030,1000031,1000031
2,1000033,1000032,1000034
3,1000035,1000033,1000035
4,1000036,1000034,1000036
5,1000039,1000036,1000037
6,1000040,1000037,1000038
7,1000041,1000043,1000040
8,1000043,1000046,1000042
9,1000048,1000048,1000044
